,Date,ArticleNumber,LinkText,Tag,Link,Clicks,Month,Day,Year,Week,Weekday
48,2020-07-23,0,US Department of Energy,6,https://en.wikipedia.org/wiki/United_States_Department_of_Energy,0.0,7,23,2020,30,3
49,2020-07-23,0,OGCI Climate Investments,7,https://oilandgasclimateinitiative.com/climate-investments/?/,0.0,7,23,2020,30,3
50,2020-07-23,0,check out their infographic,8,https://crc.com/images/documents/publications/CRC_CarbonCaptureStorage_Infographic_2020.pdf,1.0,7,23,2020,30,3
51,2020-07-23,0,here,9,https://www.businesswire.com/news/home/20200721005897/en/Fluor-Awarded-Front-End-Engineering-Design-Contract-California,0.0,7,23,2020,30,3
52,2020-07-23,1,Evonik,10,https://en.wikipedia.org/wiki/Evonik_Industries,0.0,7,23,2020,30,3
53,2020-07-23,1,24% annually,11,https://3dprintingindustry.com/news/3d-hubs-3d-printing-trends-report-forecasts-24-growth-in-3d-printing-industry-over-5-years-167998/,0.0,7,23,2020,30,3
54,2020-07-23,1,acquired Austin-based startup Structured Polymers Inc,12,https://corporate.evonik.com/en/evonik-acquires-us-based-startup-structured-polymers-100226.html,1.0,7,23,2020,30,3
55,2020-07-23,1,selective laser sintering,13,https://formlabs.com/blog/what-is-selective-laser-sintering/,0.0,7,23,2020,30,3
56,2020-07-23,1,polyamide (PA) 12 powders,14,https://www.vestosint.com/product/vestosint/en/pages/polyamide-powders.aspx,0.0,7,23,2020,30,3
57,2020-07-23,1,95% of the world's butadiene,15,"https://pubmed.ncbi.nlm.nih.gov/17324391/#:~:text=Abstract,other%20C4s%20by%20extractive%20distillation.",0.0,7,23,2020,30,3
58,2020-07-23,1,here,16,https://corporate.evonik.com/en/evonik-opens-new-technology-center-for-3d-printing-in-the-usa-138007.html,0.0,7,23,2020,30,3
59,2020-07-23,2,LyondellBasell,17,https://en.wikipedia.org/wiki/LyondellBasell,0.0,7,23,2020,30,3
60,2020-07-23,2,Grand Pacific Petrochemical Corporation,18,http://www.gppc.com.tw/gppc/english/company-2.asp,0.0,7,23,2020,30,3
61,2020-07-23,2,here,19,https://www.hmcpolymers.com/production,1.0,7,23,2020,30,3
62,2020-07-23,2,here,20,https://www.lyondellbasell.com/en/news-events/products--technology-news/lyondellbasells-spheripol-technology-selected-for-quanzhou-grand-pacific-chemical-co.-ltd.-polypropylene-plant/,0.0,7,23,2020,30,3
63,2020-07-24,0,Initially proposed back in 2018,3,https://ec.europa.eu/commission/presscorner/detail/en/IP_18_3570,0.0,7,24,2020,30,4
64,2020-07-24,0,despite concerns from industry,4,https://www.linkedin.com/pulse/eu-plastics-levy-growing-concerns-unwanted-martin-engelmann/,1.0,7,24,2020,30,4
65,2020-07-24,0,Plastic Energy,5,https://plasticenergy.com/about/,0.0,7,24,2020,30,4
66,2020-07-24,0,here,6,https://www.icis.com/explore/resources/news/2020/07/21/10532318/eu-agrees-tax-on-plastic-packaging-waste,0.0,7,24,2020,30,4
67,2020-07-24,1,Air Liquide,7,https://en.wikipedia.org/wiki/Air_Liquide#1990_-_2010:_Creation_of_Air_Liquide_Healthcare_and_acquisition_strategy_in_the_health_sector,1.0,7,24,2020,30,4
68,2020-07-24,1,cryogenic energy storage system,8,https://en.wikipedia.org/wiki/Cryogenic_energy_storage,1.0,7,24,2020,30,4
69,2020-07-24,1,see Highview Power,9,https://en.wikipedia.org/wiki/Highview_Power,1.0,7,24,2020,30,4
